Message,Label,Disease
"lethargy, sudden reduction in food consumption, red discoloration of body and appendages and a loose cuticle",1,WSSV
"shrimp may rapidly develop white spots on the exoskeleton, appendages and inside the epidermis",1,WSSV
a loose shell with many white spots on the inside surface. the spots have a pink to red discolouration,1,WSSV
unusual mortality,1,WSSV
shrimp coming to the edge or water surface of the pond,1,WSSV
shrimp demonstrating unusual swimming patterns,1,WSSV
reduced feeding,1,WSSV
sudden reduction in food consumption,1,WSSV
lethargy,1,WSSV
loose carapace,1,WSSV
"high degrees of colour variation, with a predominance of darkened (red-brown or pink) body surface and appendages",1,WSSV
heavy fouling of the surface and gills by external parasites,1,WSSV
white midgut line through the abdomen of severely affected larvae and postlarvae,1,WSSV
"white calcium deposits embedded in the shell, causing white spots",1,WSSV
delayed (or sometimes completely absent) clotting reaction of the haemolymph of infected shrimp,1,WSSV
cessation of feeding,1,WSSV
aggregations of moribund prawns near the water surface at the edge of the pond or tank,1,WSSV
loose cuticle,1,WSSV
reddish discolouration,1,WSSV
"presence of white spots of on the inside surface of the carapace, appendages, and cuticle over the abdominal segments",1,WSSV
failure to thrive,1,WSSV
anorexia,1,WSSV
reddish discoloration,1,WSSV
presence of circular white spots on the carapace and other exoskeletal parts,1,WSSV
mortality of shrimp may start,1,WSSV
the swimming ability of shrimp was weaker,1,WSSV
slow swimming,1,WSSV
knocking at the wall,1,WSSV
burrowing,1,WSSV
"white spots on the exoskeleton, especially on the carapace and the last abdominal segment",1,WSSV
drowsiness,1,WSSV
loss of appetite,1,WSSV
high mortality,1,WSSV
white spots embedded within the exoskeleton,1,WSSV
high degrees of colour variation with a predominance of reddish or pinkish discoloured shrimp,1,WSSV
lethargic,1,WSSV
gather around the edges of ponds/tanks at the water surface,1,WSSV
rapid reduction in food consumption,1,WSSV
very high mortality rate,1,WSSV
delayed (or sometimes completely absent) clotting reaction,1,WSSV
white spots in the carapace,1,WSSV
lethargic surface,1,WSSV
decreased appetite,1,WSSV
"minuscule, white spots appear on exoskeleton",1,WSSV
appears weak,1,WSSV
reduced food intake,1,WSSV
moves slowly,1,WSSV
moves in circles at shallow water of the pond rim,1,WSSV
shrimp body turns dark or reddish,1,WSSV
shrimp stays at pond bottom or rim,1,WSSV
"white spots on the head, thorax, appendages and body surface of infected shrimp",1,WSSV
erosion of liver and pancreas,1,WSSV
flesh detaches from head and thorax carapace,1,WSSV
white spots on carapace,1,WSSV
carapace is loose,1,WSSV
numerous smaller white spots are evident on the abdominal segments,1,WSSV
rapid onset of mass mortality,1,WSSV
cessation of feeding,1,WSSV
loose carapace,1,WSSV
"high degree of colour variation, with a predominance of darkened (red, brown or pink) body surface and appendages",1,WSSV
heavy fouling of the surface and gills by external parasites,1,WSSV
white midgut line through the abdomen,1,WSSV
high and rapid mass mortality,1,WSSV
moribund prawns near surface at edge of rearing pond,1,WSSV
loose shell,1,WSSV
darkened (red or pink) body surface and appendages,1,WSSV
"shrimp color is faded. shells are very soft, shell meat separation",1,WSSV
"shrimps are weak, inactive and easily be eaten by others",1,WSSV
shrimp raises their heads.,1,WSSV
they can not moult.,1,WSSV
shrimp swims fast without orientation.,1,WSSV
shappens when you date a colored,1,WSSV
shrimp body turns opaque and whit.,1,WSSV
white spots or patches on the exoskeleton of shrimp.,1,WSSV
erratic swimming or swimming near the water surface,1,WSSV
reduced feeding or loss of appetite.,1,WSSV
sluggish or lethargic behavior,1,WSSV
softening of the exoskeleton or shell degradation.,1,WSSV
darkened coloration or abnormal color patterns.,1,WSSV
"abbgdrmal molting, including incomplete shedding of old exoskeleton.",1,WSSV
"high mortality rates, particularly during the early stages of infection",1,WSSV
"hematopoietic tissue necrosis or ""white muscle syndrome"" in advanced cases.",1,WSSV
"shrimp exhibiting abnormal swimming behavior, such as swimming in circles or spiraling.",1,WSSV
shrimp body turns opaque and white,1,WSSV
"shrimp showing signs of nervous system dysfunction, such as tremors or convulsions",1,WSSV
"shrimp displaying abbgdrmal body posture, such as arching or hunching.",1,WSSV
presence of necrotic or dead tissue on the exoskeleton,1,WSSV
shrimp exhibiting abnormal reflexes or reduced response to stimuli.,1,WSSV
shrimp displaying reduced tolerance to handling or increased sensitivity to touch.,1,WSSV
shrimp showing signs of weakness or inability to maintain normal movement.,1,WSSV
decreased resistance to infections or increased susceptibility to opportunistic pathogens.,1,WSSV
shrimp displaying abnormal fecal production or presence of abnormal feces.,1,WSSV
shrimp exhibiting overall decline in health and vitality.,1,WSSV
shrimp showing signs of abdominal swelling or distension.,1,WSSV
darkened or blackened appearance of the hepatopancreas.,1,WSSV
reduced activity during feeding time or reluctance to feed.,1,WSSV
"shrimp exhibiting abnormal swimming patterns, such as spinning or tumbling.",1,WSSV
shrimp displaying abnormal excretion or presence of unusual discharge.,1,WSSV
reduced body weight or emaciation in affected shrimp.,1,WSSV
"shrimp exhibiting abnormal molting behavior, such as unsuccessful molts or soft shells.",1,WSSV
"increased susceptibility to stressors, such as poor water quality or handling.",1,WSSV
"shrimp showing signs of respiratory distress, such as rapid or labored breathing.",1,WSSV
excessive lethargy or reduced swimming activity.,1,WSSV
shrimp displaying abnormal body contortions or twisting movements,1,WSSV
shrimp exhibiting an uneven or irregular growth pattern,1,WSSV
"loss of appendages, such as antennae or walking legs.",1,WSSV
difficulty in breathing.,2,BGD
gasping for air.,2,BGD
decreased appetite.,2,BGD
reduced feeding behavior.,2,BGD
slow growth.,2,BGD
stunted development.,2,BGD
decreased molting frequency.,2,BGD
increased susceptibility to stress.,2,BGD
increased susceptibility to other diseases.,2,BGD
weakened immune system.,2,BGD
abnormal swimming patterns.,2,BGD
swimming near the water surface.,2,BGD
erratic swimming behavior.,2,BGD
hiding in sheltered areas.,2,BGD
reduced grooming behavior.,2,BGD
decreased social interaction.,2,BGD
loss of body color.,2,BGD
loss of vibrancy.,2,BGD
disoriented movement.,2,BGD
increased mortality rate.,2,BGD
high mortality in affected shrimp.,2,BGD
increased mortality in larval stages.,2,BGD
reduced reproductive activity.,2,BGD
lower larval production.,2,BGD
delayed maturation.,2,BGD
lower egg production.,2,BGD
smaller clutch size.,2,BGD
decreased egg viability.,2,BGD
increased susceptibility to predation.,2,BGD
abnormal excretion patterns.,2,BGD
altered excretion rate.,2,BGD
reduced waste elimination.,2,BGD
accumulation of waste products.,2,BGD
altered osmoregulation.,2,BGD
decreased osmoregulatory capacity.,2,BGD
reduced ion regulation.,2,BGD
increased susceptibility to salinity changes.,2,BGD
weakened exoskeleton.,2,BGD
brittle shell.,2,BGD
increased vulnerability to shell damage.,2,BGD
abnormal limb function.,2,BGD
difficulty in molting.,2,BGD
increased vulnerability to secondary infections.,2,BGD
white fecal strings floating on surface of the shrimp ponds,2,BGD
appearance of a whitish hindgut and loose carapace,2,BGD
reduced feeding,2,BGD
growth retardation,2,BGD
growth of the animal is retarded,2,BGD
hange in thecolour of the gill is,2,BGD
ills appear opaque white toyellow or brown in colour and finally it appears as black,2,BGD
gills with brown to black discoloration,2,BGD
necrosis,2,BGD
atrophy of the gill lamellae may be apparent,2,BGD
shrimp comes to surface,2,BGD
mortality,2,BGD
black melanated gills,2,BGD
light brown to black spots,2,BGD
large black patch on one or both sides of the fish,2,BGD
discoloration at the gill area,2,BGD
lethargic,2,BGD
loss of appetite,2,BGD
large numbers of diseased fish gather near the screen or outlet of the pond,2,BGD
swollen gill lamellae,2,BGD
high fish mortality,2,BGD
orient to the water current,2,BGD
exhibit exaggerated opercular movements,2,BGD
increase in mucus on the head and upper body,2,BGD
multifocal black or brown spots in the gills,2,BGD
"general discolouration of, the gills",2,BGD
anorexic,2,BGD
tend to remain near the surface or inlet,2,BGD
flaring their opercula,2,BGD
respiratory rate is elevated,2,BGD
mucous secretion may increase,2,BGD
a thin cuticle,3,EHP
white muscle,3,EHP
"black spots on their eyestalks, in their muscle tissue and along the hind gut",3,EHP
severe growth retardation,3,EHP
high size variability,3,EHP
chronic mortality,3,EHP
white fecal disease,3,EHP
infected shrimp have soft shells,3,EHP
growth retardation,3,EHP
increased size variability,3,EHP
exhibit lethargy,3,EHP
reduced feeding,3,EHP
empty midguts,3,EHP
slow growing shrimp,3,EHP
shrimp that exhibited mortality associated with white faeces syndrome,3,EHP
poor growth and immunity,3,EHP
unusually retarded growth,3,EHP
slow shrimp growth,3,EHP
white feces in infected shrimp,3,EHP
reduced appetite,3,EHP
softening of the shrimp? shell,3,EHP
empty hepatopancreas and midgut,3,EHP
"floating, white fecal strings.",3,EHP
white fecal strings on a feeding tray,3,EHP
white intestine of affected shrimp,3,EHP
golden brown intestine of an affected shrimp,3,EHP
whitish fecal strings floating on the surface of pond water,3,EHP
presence of shrimp displaying white discoloration of the gastrointestinal tract,3,EHP
soft shells,3,EHP
reduced feed intake,3,EHP
presence of a visibly thin cuticle in affected shrimp populations,3,EHP
observations of white muscle tissues in infected individuals,3,EHP
"notable occurrence of black spots on eyestalks, muscle tissue, and hind gut",3,EHP
severe growth retardation evident in affected shrimp,3,EHP
high variability in size among infected individuals,3,EHP
chronic mortality patterns observed within affected groups,3,EHP
presence of white fecal disease among infected shrimp populations,3,EHP
soft shell manifestations in shrimp infected with ehp,3,EHP
consistent growth retardation observed in affected populations,3,EHP
increased variability in size among infected shrimp,3,EHP
indications of lethargy in shrimp affected by ehp,3,EHP
reduced feeding behavior observed in affected individuals,3,EHP
instances of empty midguts observed in infected shrimp,3,EHP
slow growth patterns noticeable among affected shrimp,3,EHP
mortality instances linked to white faeces syndrome in shrimp,3,EHP
poor growth and compromised immunity evident in affected populations,3,EHP
unusually retarded growth patterns observed in infected individuals,3,EHP
white feces noticeable in infected shrimp populations,3,EHP
reduced appetite observed among infected individuals,3,EHP
softening of shrimp shells observed in affected populations,3,EHP
"discoloration and deformities, namely stunting in some parts of the body and deformity of the rostrum",4,IHHNV
"the shrimp skin will appear pale white, the body’s surface will be overgrown with bacteria or fungi, and necrosis is seen in the cuticles, nerves, and antennae",4,IHHNV
"hemorrhaging in the muscles, eyes, skin, and meninges; necrosis of internal organs (particularly the kidney and liver); exophthalmia; lethargy; and darkening of the skin",4,IHHNV
reduced food consumption,4,IHHNV
cannibalism,4,IHHNV
"repeatedly floating slowly to the water surface, rolling over and then sinking to the bottom",4,IHHNV
morbidity or mortality,4,IHHNV
poor hatching success of eggs,4,IHHNV
poor survival of larvae and postlarvae,4,IHHNV
opaque abdominal musculature,4,IHHNV
white to buff lesions under the carapace,4,IHHNV
blue appearance of moribund prawns,4,IHHNV
runt deformity syndrome,4,IHHNV
cuticular roughness,4,IHHNV
cuticular deformities,4,IHHNV
white to buff mottling of the shell,4,IHHNV
"poor growth, irregular growth, and epidermal malformation",4,IHHNV
cuticular deformities,4,IHHNV
"slow mortality, abnormal physical defects, slow growth, small size and rostrum, antenna, thoracic and abdominal deformities",4,IHHNV
impaired growth and cuticle deformities,4,IHHNV
increased morbidity / mortality,4,IHHNV
"stop swimming and tumble, and then slowly sink to the bottom of the pond and usually they are ingested by the healthy shrimps",4,IHHNV
